Distribuidor,Zona,Folio,Nombre
AMARANTA FIGUEROA,Sur,CS1126,Centro de Servicio LTH suc. Vía Morelos
AMARANTA FIGUEROA,Sur,CS1119,Centro de Servicio LTH suc. Ojo de Agua
BAM,Sur,CS1110,Centro de Servicio LTH suc. San Lorenzo Tlalnepantla
BAM,Sur,CS1604,Centro de Servicio LTH suc. San Rafael
BALSAS,Sur,CS1301,Centro de Servicio LTH suc. Lomas de Magallanes
BALSAS,Sur,CS1302,Centro de Servicio LTH suc. Diamante
BALSAS,Sur,CS1306,Centro de Servicio LTH suc. Zihuatanejo
BALSAS,Sur,CS1307,Centro de Servicio LTH  suc. Hornos
BALSAS,Sur,CS1714,Centro de Servicio LTH suc. Lázaro Cárdenas
ZARAGOZA,SUR,CS1609,Centro de Servicio LTH suc. Escutia
DASSA,Sur,CS1606,Centro de Servicio LTH suc. Revolución 827
DASSA,Sur,CS1607,Centro de Servicio LTH suc. Xola
DASSA,Sur,CS1608,Centro de Servicio LTH suc. Santa Rosa
DASSA,Sur,CS1614,Centro de Servicio LTH suc. Río Frío
CAMSA,Sur,CS1611,Centro de Servicio LTH suc. Viaducto
CAMSA,Sur,CS1612,Centro de Servicio LTH suc. Congreso de la Unión
CAMSA,Sur,CS1618,Centro de Servicio LTH suc. Palo Solo
BATERIAS MEXICANAS,Norte,CS7008,Centro de Servicio LTH suc. Campo Militar
BATERIAS MEXICANAS,Norte,CS7006,Centro de Servicio LTH suc. Diagonal Reforma
BATERIAS MEXICANAS,Norte,CS7013,Centro de Servicio LTH suc. San Antonio
BATERIAS MEXICANAS,Norte,CS9004,Centro de Servicio LTH suc. Morelos 601
CIMACO,Norte,CS7007,Centro de Servicio LTH suc. Hidalgo 408
EDUARDO REGALADO,Norte,CS6003,Centro de Servicio LTH suc. San Angel
EDUARDO REGALADO,Norte,CS6004,Centro de Servicio LTH suc. Centeno
EDUARDO REGALADO,Norte,CS6005,Centro de Servicio LTH suc. San Lorenzo
EDUARDO REGALADO,Norte,CS6020,Centro de Servicio LTH suc. Carlos Amaya
DIFATSA,Sur,CS1118,Centro de Servicio LTH suc. Seminario
CAPASA,Sur,CS1809,Centro de Servicio LTH suc. Cuautla
CAPASA,Sur,CS1805,Centro de Servicio LTH suc. Bugambilias
CAPASA,Sur,CS1806,Centro de Servicio LTH suc. Cuauhnáhuac
COMACSA,Sur,CS1129,Centro de Servicio LTH suc. Metepec
COMACSA,Sur,CS1113,Centro de Servicio LTH suc. Doctores
COMACSA,Sur,CS1114,Centro de Servicio LTH suc. Isidro Fabela
COMACSA,Sur,CS1128,Centro de Servicio LTH suc. Doctores II
NASMAR,Sur,CS1402,Centro de Servicio LTH suc. Everardo Marquez
NASMAR,Sur,CS1404,Centro de Servicio LTH suc. Pedregal San José
ROBERTO MORALES,Sur,CS3204,Centro de Servicio LTH suc. Revolución
PAPSA,SUR,CS2207,Centro de Servicio LTH suc. San Jacinto
PAPSA,SUR,CS2202,Centro de Servicio LTH suc. Alamo
PAPSA,SUR,CS2203,Centro de Servicio LTH suc. Xoxocotlán
PAPSA,SUR,CS2205,Centro de Servicio LTH suc. Tagolaba
ECASA,Sur,CS3206,Centro de Servicio LTH suc. Apizaco
ECASA,Sur,CS3201,Centro de Servicio LTH suc. Zimatepec
HESA,Sur,CS1103,Centro de Servicio LTH suc. Faja de Oro
HESA,Sur,CS1121,Centro de Servicio LTH suc. Las Américas
HESA,Sur,CS1124,Centro de Servicio LTH suc. San Cristobal 
HESA,Sur,CS1131,Centro de Servicio LTH suc. La fuente
C.A. QUERETARO,Sur,CS1218,Centro de Servicio LTH suc. San Miguel de Allende
C.A. QUERETARO,Sur,CS2401,Centro de Servicio LTH suc. Tlacote
C.A. QUERETARO,Sur,CS2402,Centro de Servicio LTH suc. Cimatario
C.A. QUERETARO,Sur,CS2407,Centro de Servicio LTH suc. Juriquilla
JUAN DE JESUS,Sur,CS2406,Centro de Servicio LTH suc. 5 de Febrero
JUAN DE JESUS,Sur,CS2409,Centro de Servicio LTH suc. Sombrerete
REPUESTOS DE ZACATECAS,Sur,CS3501,Centro de Servicio LTH suc. Plateros/Cipreses
REPUESTOS DE ZACATECAS,Sur,CS3502,Centro de Servicio LTH suc. Sauceda
REPUESTOS DE ZACATECAS,Sur,CS3505,Centro de Servicio LTH suc. Abastos
REPUESTOS DEL NOROESTE,Norte,CS6002,Centro de Servicio LTH suc. Morelos 8300
REPUESTOS DEL NOROESTE,Norte,CS6012,Centro de Servicio LTH suc. Fernando Baeza
JORGE GUTIERREZ,Norte,CS6007,Centro de Servicio LTH suc. Tecnológico
JORGE GUTIERREZ,Norte,CS6008,Centro de Servicio LTH suc. Río de Janeiro
JORGE GUTIERREZ,Norte,CS6010,Centro de Servicio LTH suc. Portales
JORGE GUTIERREZ,Norte,CS6021,Centro de Servicio LTH suc. Nueva España
JORGE GUTIERREZ,Norte,CS6013,Centro de Servicio LTH suc. Delicias
JORGE GUTIERREZ,Norte,CS6014,Centro de Servicio LTH suc. Meoqui
ERVILLA,Norte,CS6019,Centro de Servicio LTH suc. Camargo
ERVILLA,Norte,CS6018,Centro de Servicio LTH suc. Agustín Melgar
ERVILLA,Norte,CS6015,Centro de Servicio LTH suc. Ortiz Mena
ERVILLA,Norte,CS6016,Centro de Servicio LTH suc. Palmillas
BDH,Norte,CS2805,Centro de Servicio LTH suc. Jalisco
BDH,Norte,CS2806,Centro de Servicio LTH suc. C15
BDH,Norte,CS2807,Centro de Servicio LTH suc. Obelisco
BDH,Norte,CS2816,Centro de Servicio LTH suc. Colosio
BDH,Norte,CS2823,Centro de Servicio LTH suc. Ignacio Soto
BDH,Norte,CS2809,Centro de Servicio LTH suc. San Benito
BDH,Norte,CS2811,Centro de Servicio LTH suc. Solidaridad
BDH,Norte,CS2819,Centro de Servicio LTH suc. Ferrocarril
ERSA,Norte,CS2820,Centro de Servicio LTH suc. Agua Prieta
ERSA,Norte,CS2801,Centro de Servicio LTH suc. Álvaro Obregón
ERSA,Norte,CS2802,"Centro de Servicio LTH suc. ""N"""
ERSA,Norte,CS2803,Centro de Servicio LTH suc. Lexus
ERSA,Norte,CS2813,Centro de Servicio LTH suc. Villa Sonora
ERSA,Norte,CS2821,Centro de Servicio LTH suc. Los Nogales
ERSA,Norte,CS2822,Centro de Servicio LTH suc. Los Nogales Centro
ERSA,Norte,CS2824,Centro de Servicio LTH suc. Los Maestros
ERSA,Norte,CS2814,Centro de Servicio LTH suc. Simon Morua
LLANTERAMA,Sur,CS1406,Centro de Servicio LTH suc. Avenidas
LLANTERAMA,Sur,CS1407,Centro de Servicio LTH suc. Colosio
LLANTERAMA,Sur,CS1405,Centro de Servicio LTH suc. Emiliano Zapata
LLANTERAMA,Sur,CS3308,Centro de Servicio LTH suc. Sucre
LLANTERAMA,Sur,CS3320,Centro de Servicio LTH suc. Central Poniente
LLANTERAMA,Sur,CS3311,Centro de Servicio LTH suc. Revolución
RIMSA,Sur,CS2206,Centro de Servicio LTH suc. Ponciano
RIMSA,Sur,CS3301,Centro de Servicio LTH suc. Urano
RIMSA,Sur,CS3303,Centro de Servicio LTH suc. Francisco Villa 
RIMSA,Sur,CS3304,Centro de Servicio LTH suc. Av. 11
RIMSA,Sur,CS3305,Centro de Servicio LTH suc. Poniente 7
RIMSA,Sur,CS3309,Centro de Servicio LTH suc. La Rueda
RIMSA,Sur,CS3318,Centro de Servicio LTH suc. 5 de Febrero
RIMSA,Sur,CS3312,Centro de Servicio LTH suc. Burocrática
RIMSA,Sur,CS3313,Centro de Servicio LTH suc. Cuauhtemoc
RIMSA,Sur,CS3314,Centro de Servicio LTH suc. La Fragua
RIMSA,Sur,CS3322,Centro de Servicio LTH suc. Miguel Alemán
RIMSA,Sur,CS3325,Centro de Servicio LTH suc. Nuevo Veracruz
RIMSA,Sur,CS3321,Centro de Servicio LTH suc. Xalapa 2
ACUVER,Sur,CS3324,Centro de Servicio LTH suc. Carranza
ACUVER,Sur,CS3315,Centro de Servicio LTH suc. JB Lobos
ACUVER,Sur,CS3323,Centro de Servicio LTH suc. Quirasco
BATTERY CENTER ROAL,Sur,CS1004,Centro de Servicio LTH suc. Siglo XXI
BATTERY CENTER ROAL,Sur,CS1207,Centro de Servicio LTH suc. Mariano Escobedo
BATTERY CENTER ROAL,Sur,CS1208,Centro de Servicio LTH suc. Fco. Villa
BATTERY CENTER ROAL,Sur,CS1209,Centro de Servicio LTH suc. Blvd. Guanajuato
BATTERY CENTER ROAL,Sur,CS1223,Centro de Servicio LTH suc. Las Joyas
BATTERY CENTER ROAL,Sur,CS1224,Centro de Servicio LTH suc. Torres Landa
BATTERY CENTER ROAL,Sur,CS1215,Centro de Servicio LTH suc. San Francisco
BATTERY CENTER ROAL,Sur,CS1217,Centro de Servicio LTH suc. San Francisco del Rincón 2
GRUPO ENERMAX,Sur,CS1202,Centro de Servicio LTH suc. Los Laureles
GRUPO ENERMAX,Sur,CS1220,Centro de Servicio LTH suc. Eje
GRUPO ENERMAX,Sur,CS1222,Centro de Servicio LTH suc. Constituyentes
GRUPO ENERMAX,Sur,CS1203,Centro de Servicio LTH suc. Burócratas
GRUPO ENERMAX,Sur,CS1221,Centro de Servicio LTH suc. Irapuato
GRUPO ENERMAX,Sur,CS1210,Centro de Servicio LTH suc. Jerez
GRUPO ENERMAX,Sur,CS1211,Centro de Servicio LTH suc. Las Torres
GRUPO ENERMAX,Sur,CS1212,Centro de Servicio LTH suc. Del Moral
GRUPO ENERMAX,Sur,CS1213,Centro de Servicio LTH suc. Parque del Arbol
BATTERY PLUS,Norte,CS2705,Centro de Servicio LTH suc. Calzada
BATTERY PLUS,Norte,CS2706,Centro de Servicio LTH suc. Leyva Solano
BATTERY PLUS,Norte,CS2707,Centro de Servicio LTH suc. Rolando Arjona 45
BATTERY PLUS,Norte,CS2722,Centro de Servicio LTH suc. José Limón
BATTERY PLUS,Norte,CS2711,Centro de Servicio LTH suc. Guasave
BATTERY PLUS LOS MOCHIS,Norte,CS2714,Centro de Servicio LTH suc. Río de las Cañas
BATTERY PLUS LOS MOCHIS,Norte,CS2715,Centro de Servicio LTH suc. Rosales
BATTERY PLUS LOS MOCHIS,Norte,CS2721,Centro de Servicio LTH suc. Belisario 
BATTERY PLUS LOS MOCHIS,Norte,CS2726,Centro de Servicio LTH suc. Justicia Social
ACUM. Y LLANTAS GALL,Norte,CS2717,Centro de Servicio LTH suc. Leyva
ACUM. Y LLANTAS GALL,Norte,CS2718,Centro de Servicio LTH suc. Juárez
ACUM. Y LLANTAS GALL,Norte,CS2719,Centro de Servicio LTH suc. Insurgentes
ACUM. Y LLANTAS GALL,Norte,CS2728,Centro de Servicio LTH suc. Cedis
LUPESA,Norte,CS3001,Centro de Servicio LTH suc. El Manglito
LUPESA,Norte,CS3002,Centro de Servicio LTH suc. Los Cabos
MONTOYA GALAVIZ,Norte,CS2701,Centro de Servicio LTH suc. Barrancos
MONTOYA GALAVIZ,Norte,CS2702,Centro de Servicio LTH suc. Lázaro Cárdenas
MONTOYA GALAVIZ,Norte,CS2703,Centro de Servicio LTH suc. Gpe.Victoria
MONTOYA GALAVIZ,Norte,CS2704,Centro de Servicio LTH suc. Zapata
MONTOYA GALAVIZ,Norte,CS2724,Centro de Servicio LTH suc. Humaya
MONTOYA GALAVIZ,Norte,CS2713,Centro de Servicio LTH suc. Gaxiola
MAEGA,CAM,CSCAM3001,Centro de Servicio LTH suc. Blvd. Del Norte
MAEGA,CAM,CSCAM3002,Centro de Servicio LTH suc. 105
MAEGA,CAM,CSCAM3003,Centro de Servicio LTH suc. Suyapa
MAEGA,CAM,CSCAM3004,Centro de Servicio LTH suc. 2° Calle
MAEGA,CAM,CSCAM3005,Centro de Servicio LTH suc. Circunvalación
MAEGA,CAM,CSCAM3006,Centro de Servicio LTH suc. New Orleans
MAEGA,CAM,CSCAM3007,Centro de Servicio LTH suc. Segundo Anillo
MAEGA,CAM,CSCAM3008,Centro de Servicio LTH suc. Progreso
MAEGA,CAM,CSCAM3009,Centro de Servicio LTH suc. Santa Rosa De Copan
MAEGA,CAM,CSCAM3010,Centro de Servicio LTH suc. Puma
MAEGA,CAM,CSCAM3011,Centro de Servicio LTH suc. Fuerzas Armadas
MAEGA,CAM,CSCAM3012,Centro de Servicio LTH suc. Country
MAEGA,CAM,CSCAM3013,Centro de Servicio LTH suc. Comayagüela
MAEGA,CAM,CSCAM3014,Centro de Servicio LTH suc. Loarque
MAEGA,CAM,CSCAM3015,Centro de Servicio LTH suc. Comayagua
MAEGA,CAM,CSCAM3016,Centro de Servicio LTH suc. Buenos Aires
MAEGA,CAM,CSCAM3017,Centro de Servicio LTH suc. Ave. Colón
MAEGA,CAM,CSCAM3018,Centro de Servicio LTH suc. Choluteca
MAEGA,CAM,CSCAM3019,Centro de Servicio LTH suc. Siguatepeque
IBERIA,CAM,CSCAM2001,Centro de Servicio LTH suc. Central
IBERIA,CAM,CSCAM2002,Centro de Servicio LTH suc. Marti
IBERIA,CAM,CSCAM2003,Centro de Servicio LTH suc. Santander
IBERIA,CAM,CSCAM2004,Centro de Servicio LTH suc. Zona 9
IBERIA,CAM,CSCAM2005,Centro de Servicio LTH suc. Quetzaltenango
IBERIA,CAM,CSCAM2006,Centro de Servicio LTH suc. Peten
IBERIA,CAM,CSCAM2007,Centro de Servicio LTH suc. Gran Plaza
IZAGUIRRRE,Sur,CS1101,Centro de Servicio LTH suc. Tlatlaya
IZAGUIRRRE,Sur,CS1120,Centro de Servicio LTH suc. Carr. Qro.
IZAGUIRRRE,Sur,CS1125,Centro de Servicio LTH suc. Colinas
IZAGUIRRRE,Sur,CS1130,Centro de Servicio LTH suc. Mundo E
IZAGUIRRRE,Sur,CS1617,Centro de Servicio LTH suc. Acoxpa
ROMUALDO,Sur,CS1601,Centro de Servicio LTH suc. Patriotismo
100 VOLTIOS,Sur,CS1111,Centro de Servicio LTH suc. La Romana
